Date,DayOfWeek,Month,Year,DateID
2020-01-02,3,1,2020,1
2020-01-06,0,1,2020,2
2020-01-09,3,1,2020,3
2020-01-10,4,1,2020,4
2020-01-11,5,1,2020,5
2020-01-13,0,1,2020,6
2020-01-15,2,1,2020,7
2020-01-16,3,1,2020,8
2020-01-17,4,1,2020,9
2020-01-21,1,1,2020,10
2020-01-22,2,1,2020,11
2020-01-24,4,1,2020,12
2020-01-27,0,1,2020,13
2020-02-07,4,2,2020,14
2020-02-17,0,2,2020,15
2020-02-24,0,2,2020,16
2020-02-25,1,2,2020,17
2020-02-26,2,2,2020,18
2020-03-02,0,3,2020,19
2020-03-04,2,3,2020,20
2020-03-05,3,3,2020,21
2020-03-06,4,3,2020,22
2020-03-09,0,3,2020,23
2020-03-10,1,3,2020,24
2020-03-11,2,3,2020,25
2020-03-13,4,3,2020,26
2020-03-14,5,3,2020,27
2020-03-17,1,3,2020,28
2020-03-18,2,3,2020,29
2020-03-19,3,3,2020,30
2020-03-20,4,3,2020,31
2020-03-23,0,3,2020,32
2020-03-24,1,3,2020,33
2020-03-25,2,3,2020,34
2020-03-26,3,3,2020,35
2020-03-27,4,3,2020,36
2020-03-30,0,3,2020,37
2020-03-31,1,3,2020,38
2020-04-01,2,4,2020,39
2020-01-03,4,1,2020,40
2020-01-14,1,1,2020,41
2020-01-23,3,1,2020,42
2020-02-13,3,2,2020,43
2020-02-18,1,2,2020,44
2020-02-23,6,2,2020,45
2020-03-22,6,3,2020,46
2020-04-06,0,4,2020,47
2020-04-09,3,4,2020,48
2020-04-10,4,4,2020,49
2020-04-16,3,4,2020,50
2020-04-17,4,4,2020,51
2020-04-21,1,4,2020,52
2020-04-27,0,4,2020,53
2020-04-29,2,4,2020,54
2020-04-30,3,4,2020,55
2020-05-08,4,5,2020,56
2020-05-11,0,5,2020,57
2020-05-12,1,5,2020,58
2020-05-13,2,5,2020,59
2020-05-15,4,5,2020,60
2020-05-17,6,5,2020,61
2020-05-18,0,5,2020,62
2020-05-20,2,5,2020,63
2020-05-21,3,5,2020,64
2020-05-22,4,5,2020,65
2020-04-03,4,4,2020,66
2020-04-04,5,4,2020,67
2020-04-07,1,4,2020,68
2020-04-08,2,4,2020,69
2020-05-23,5,5,2020,70
2020-05-28,3,5,2020,71
2020-05-29,4,5,2020,72
2020-05-30,5,5,2020,73
2020-04-12,6,4,2020,74
2020-04-28,1,4,2020,75
2020-05-01,4,5,2020,76
2020-06-01,0,6,2020,77
2020-06-02,1,6,2020,78
2020-06-03,2,6,2020,79
2020-05-02,5,5,2020,80
2020-06-04,3,6,2020,81
2020-06-05,4,6,2020,82
2020-05-04,0,5,2020,83
2020-05-05,1,5,2020,84
2020-05-06,2,5,2020,85
2020-05-07,3,5,2020,86
2020-06-06,5,6,2020,87
2020-05-09,5,5,2020,88
2020-06-07,6,6,2020,89
2020-06-08,0,6,2020,90
2020-06-09,1,6,2020,91
2020-06-10,2,6,2020,92
2020-05-14,3,5,2020,93
2020-06-11,3,6,2020,94
2020-06-12,4,6,2020,95
2020-06-13,5,6,2020,96
2020-05-16,5,5,2020,97
2020-05-19,1,5,2020,98
2020-06-14,6,6,2020,99
2020-06-15,0,6,2020,100
2020-06-16,1,6,2020,101
2020-05-25,0,5,2020,102
2020-06-17,2,6,2020,103
2020-05-26,1,5,2020,104
2020-06-18,3,6,2020,105
2020-06-19,4,6,2020,106
2020-06-20,5,6,2020,107
2020-06-22,0,6,2020,108
2020-06-23,1,6,2020,109
2020-06-24,2,6,2020,110
2020-06-25,3,6,2020,111
2020-06-26,4,6,2020,112
2020-06-27,5,6,2020,113
2020-06-28,6,6,2020,114
2020-06-29,0,6,2020,115
2020-06-30,1,6,2020,116
2020-07-01,2,7,2020,117
2020-07-02,3,7,2020,118
2020-07-03,4,7,2020,119
2020-07-04,5,7,2020,120
2020-07-05,6,7,2020,121
2020-07-06,0,7,2020,122
2020-07-07,1,7,2020,123
2020-07-08,2,7,2020,124
2020-07-09,3,7,2020,125
2020-07-10,4,7,2020,126
2020-07-11,5,7,2020,127
2020-07-12,6,7,2020,128
2020-07-13,0,7,2020,129
2020-07-14,1,7,2020,130
2020-07-15,2,7,2020,131
2020-07-16,3,7,2020,132
2020-07-17,4,7,2020,133
2020-07-18,5,7,2020,134
2020-07-20,0,7,2020,135
2020-07-21,1,7,2020,136
2020-07-22,2,7,2020,137
2020-07-23,3,7,2020,138
2020-07-24,4,7,2020,139
2020-07-25,5,7,2020,140
2020-07-26,6,7,2020,141
2020-07-27,0,7,2020,142
2020-07-28,1,7,2020,143
2020-07-29,2,7,2020,144
2020-07-30,3,7,2020,145
2020-07-31,4,7,2020,146
2020-08-01,5,8,2020,147
2020-08-03,0,8,2020,148
2020-08-04,1,8,2020,149
2020-08-05,2,8,2020,150
2020-08-06,3,8,2020,151
2020-08-07,4,8,2020,152
2020-08-09,6,8,2020,153
2020-08-10,0,8,2020,154
2020-08-11,1,8,2020,155
2020-08-12,2,8,2020,156
2020-08-13,3,8,2020,157
2020-08-14,4,8,2020,158
2020-08-15,5,8,2020,159
2020-08-16,6,8,2020,160
2020-08-17,0,8,2020,161
2020-08-18,1,8,2020,162
2020-08-19,2,8,2020,163
2020-08-20,3,8,2020,164
2020-01-18,5,1,2020,165
2020-01-28,1,1,2020,166
2020-02-05,2,2,2020,167
2020-02-10,0,2,2020,168
2020-02-11,1,2,2020,169
2020-02-12,2,2,2020,170
2020-02-14,4,2,2020,171
2020-02-19,2,2,2020,172
2020-03-12,3,3,2020,173
2020-03-28,5,3,2020,174
2020-04-14,1,4,2020,175
2020-04-15,2,4,2020,176
2020-04-20,0,4,2020,177
2020-04-22,2,4,2020,178
2020-04-23,3,4,2020,179
2020-08-21,4,8,2020,180
2020-08-24,0,8,2020,181
2020-08-25,1,8,2020,182
2020-08-27,3,8,2020,183
2020-09-01,1,9,2020,184
2020-09-03,3,9,2020,185
2020-09-08,1,9,2020,186
2020-09-09,2,9,2020,187
2020-09-10,3,9,2020,188
2020-09-14,0,9,2020,189
2020-09-15,1,9,2020,190
2020-09-17,3,9,2020,191
2020-09-18,4,9,2020,192
2020-09-21,0,9,2020,193
2020-09-22,1,9,2020,194
2020-09-26,5,9,2020,195
2020-09-28,0,9,2020,196
2020-09-29,1,9,2020,197
2020-09-30,2,9,2020,198
2020-10-03,5,10,2020,199
2020-10-04,6,10,2020,200
2020-10-08,3,10,2020,201
2020-10-09,4,10,2020,202
2020-10-12,0,10,2020,203
2020-10-13,1,10,2020,204
2020-10-16,4,10,2020,205
2020-10-17,5,10,2020,206
2020-10-19,0,10,2020,207
2020-10-20,1,10,2020,208
2020-10-21,2,10,2020,209
2020-10-22,3,10,2020,210
2020-10-26,0,10,2020,211
2020-10-28,2,10,2020,212
2020-10-30,4,10,2020,213
2020-11-04,2,11,2020,214
2020-11-05,3,11,2020,215
2020-11-06,4,11,2020,216
2020-11-11,2,11,2020,217
2020-11-17,1,11,2020,218
2020-11-18,2,11,2020,219
2020-11-20,4,11,2020,220
2020-11-24,1,11,2020,221
2020-11-25,2,11,2020,222
2020-11-27,4,11,2020,223
2020-11-28,5,11,2020,224
2020-11-30,0,11,2020,225
2020-12-01,1,12,2020,226
2020-12-02,2,12,2020,227
2020-12-04,4,12,2020,228
2020-12-08,1,12,2020,229
2020-12-12,5,12,2020,230
2020-12-14,0,12,2020,231
2020-05-27,2,5,2020,232
2020-10-15,3,10,2020,233
2020-12-15,1,12,2020,234
2020-12-21,0,12,2020,235
2020-12-30,2,12,2020,236
2021-01-04,0,1,2021,237
2021-01-06,2,1,2021,238
2021-01-07,3,1,2021,239
2021-01-08,4,1,2021,240
2021-01-09,5,1,2021,241
2021-01-12,1,1,2021,242
2021-01-13,2,1,2021,243
2021-01-14,3,1,2021,244
2021-01-15,4,1,2021,245
2021-01-16,5,1,2021,246
2021-01-18,0,1,2021,247
2021-01-19,1,1,2021,248
2021-01-20,2,1,2021,249
2021-01-21,3,1,2021,250
2021-01-22,4,1,2021,251
2021-01-23,5,1,2021,252
2021-01-25,0,1,2021,253
2021-01-26,1,1,2021,254
2021-02-02,1,2,2021,255
2021-02-03,2,2,2021,256
2021-02-05,4,2,2021,257
2021-02-08,0,2,2021,258
2021-02-09,1,2,2021,259
2021-02-10,2,2,2021,260
2021-02-11,3,2,2021,261
2021-02-15,0,2,2021,262
2021-02-16,1,2,2021,263
2021-02-17,2,2,2021,264
2021-02-18,3,2,2021,265
2021-02-19,4,2,2021,266
2020-12-10,3,12,2020,267
2021-02-22,0,2,2021,268
2021-02-24,2,2,2021,269
2021-02-26,4,2,2021,270
2021-03-01,0,3,2021,271
2021-03-03,2,3,2021,272
2021-03-05,4,3,2021,273
2021-03-06,5,3,2021,274
2021-03-09,1,3,2021,275
